cutoff,comparison,n_queries,mean_a,mean_b,delta_a_minus_b,t_pvalue,bootstrap_pvalue,cohens_d,bonferroni_significant_t,bonferroni_significant_bootstrap
1,ColBERT vs SBR,53,0.6069182389937107,0.6257861635220126,-0.018867924528301886,0.18220075755434398,0.2628737126287371,-0.18572270870386823,False,False
1,ColBERT vs IPSsimRF,53,0.6069182389937107,0.6823899371069181,-0.07547169811320754,0.012859586155704771,0.0124987501249875,-0.35390804349676225,False,False
1,SBR vs IPSsimRF,53,0.6257861635220126,0.6823899371069181,-0.05660377358490567,0.03768653339239174,0.025297470252974703,-0.29295489099315547,False,False
3,ColBERT vs SBR,53,0.6315001535196872,0.6459611264224119,-0.014460972902724698,0.02643201845430185,0.021997800219978002,-0.3138468299814143,False,False
3,ColBERT vs IPSsimRF,53,0.6315001535196872,0.689674260019148,-0.0581741064994609,2.030317884225315e-05,9.999000099990002e-05,-0.6439481071469723,True,True
3,SBR vs IPSsimRF,53,0.6459611264224119,0.689674260019148,-0.0437131335967362,5.8639691127454575e-05,9.999000099990002e-05,-0.6009605262358099,True,True
5,ColBERT vs SBR,53,0.6149258864651405,0.6319110618999235,-0.016985175434783145,0.008451646359122142,0.0065993400659934,-0.3760432763749955,False,False
5,ColBERT vs IPSsimRF,53,0.6149258864651405,0.6647718468130093,-0.049845960347868715,7.451339945253195e-06,9.999000099990002e-05,-0.6837102507241474,True,True
5,SBR vs IPSsimRF,53,0.6319110618999235,0.6647718468130093,-0.03286078491308557,0.0005730083666104399,0.0004999500049995,-0.5040381184021588,True,True
10,ColBERT vs SBR,53,0.5829617653945037,0.600580968248382,-0.017619202853878295,0.0003255344049549324,0.0005999400059994001,-0.5287968610306927,True,True
10,ColBERT vs IPSsimRF,53,0.5829617653945037,0.6227033467566554,-0.03974158136215187,3.821506887087961e-06,9.999000099990002e-05,-0.7098236676050008,True,True
10,SBR vs IPSsimRF,53,0.600580968248382,0.6227033467566554,-0.022122378508273564,0.0026677362883202934,0.0018998100189981002,-0.43337166382586734,False,True
30,ColBERT vs SBR,53,0.5157583864087071,0.5289835285520836,-0.013225142143376546,8.812991340074655e-05,9.999000099990002e-05,-0.5841454545971578,True,True
30,ColBERT vs IPSsimRF,53,0.5157583864087071,0.534083520002517,-0.018325133593809956,0.007063429735149984,0.0045995400459954,-0.3852767229901331,False,False
30,SBR vs IPSsimRF,53,0.5289835285520836,0.534083520002517,-0.0050999914504334075,0.2788667156212778,0.275972402759724,-0.15031361774115976,False,False
50,ColBERT vs SBR,53,0.46491530063049774,0.47421546224975436,-0.009300161619256621,0.000988775476015415,0.0010998900109989002,-0.47958360480601403,True,True
50,ColBERT vs IPSsimRF,53,0.46491530063049774,0.4786298183606014,-0.013714517730103652,2.3245610703652283e-05,9.999000099990002e-05,-0.6385198914340722,True,True
50,SBR vs IPSsimRF,53,0.47421546224975436,0.4786298183606014,-0.004414356110847031,0.16548196200207152,0.14208579142085792,-0.1932172020298234,False,False
100,ColBERT vs SBR,53,0.3794068905314486,0.3840215872259481,-0.004614696694499544,7.668632797657834e-09,9.999000099990002e-05,-0.9451396360484775,True,True
100,ColBERT vs IPSsimRF,53,0.3794068905314486,0.3899530391882793,-0.010546148656830736,5.120355945061434e-06,9.999000099990002e-05,-0.6984147686252324,True,True
100,SBR vs IPSsimRF,53,0.3840215872259481,0.3899530391882793,-0.005931451962331187,0.0015219126685316279,0.0016998300169983002,-0.4598025521157031,True,True
