variant,fold,n_train,n_test,best_alpha,ndcg1,ndcg3,ndcg5,ndcg10,ndcg30,ndcg50,ndcg100
A2,0,42,11,2.8979591836734695,0.7575757575757577,0.7522177591374029,0.7085993494153686,0.6419752945824854,0.5867359323056368,0.5409912139079197,0.44888628858257834
A3,0,42,11,2.4,0.6363636363636364,0.7312242057971736,0.67657058476469,0.6325744820443953,0.5783627654157902,0.5375550321312175,0.4451532526623156
A2,1,42,11,2.8979591836734695,0.8030303030303031,0.7196280589998326,0.7113188554228141,0.686348950701391,0.5510322048955237,0.4877268828221694,0.40399707140722807
A3,1,42,11,3.4,0.712121212121212,0.6852427291287868,0.6642613119993678,0.6372195938101336,0.5251888826775231,0.47423201419912914,0.3915422759234564
A2,2,42,11,2.7448979591836737,0.5757575757575758,0.5863244579976753,0.582011082764116,0.5798227078642293,0.5405763672646038,0.5036826387087922,0.42840868331426596
A3,2,42,11,4.1,0.4848484848484848,0.5387480517190012,0.5773889735911489,0.5594414331259862,0.5216779027182509,0.4815308523008454,0.41554195659271387
A2,3,43,10,2.8979591836734695,0.6166666666666666,0.6518720747838335,0.65087218154041,0.6265107119465594,0.5203147193689905,0.44145281634469224,0.33387747713793453
A3,3,43,10,2.4,0.55,0.6205868263823163,0.6469718276026517,0.62521143258907,0.5160075065374513,0.43507853852549605,0.3304794890204411
A2,4,43,10,2.8979591836734695,0.7166666666666667,0.7140837173871497,0.6509099764831159,0.5797063032424353,0.46609093162901577,0.4093649825993294,0.3233777413096611
A3,4,43,10,2.4,0.6499999999999999,0.6753402349869619,0.6235205292925408,0.5686046500588098,0.4722819950429618,0.4050627471640696,0.32119209038520846
