qid,n_sbr,n_random_pool,sbr_qrel_mean,rand_qrel_mean,sbr_colbert_pct_mean,rand_colbert_pct_mean,sbr_simcse_to_top4_mean,rand_simcse_to_top4_mean
2082,4,81,2.0,0.8765432098765432,92.17171717171718,40.404040404040394,0.8759478628635406,0.8169583667207647
23287,4,81,0.75,0.06172839506172839,86.6161616161616,40.404040404040394,0.8393842875957489,0.7686387914934276
30611,4,81,0.75,0.43209876543209874,92.67676767676767,40.404040404040394,0.8053756058216095,0.7708965019311433
112700,4,81,0.5,0.4444444444444444,80.55555555555556,40.404040404040394,0.8720429986715317,0.7978375736210082
168329,4,81,1.75,1.0,89.64646464646464,40.404040404040394,0.8658697754144669,0.8352402993190435
190623,4,81,0.5,0.1728395061728395,86.61616161616163,40.404040404040394,0.6859325282275677,0.595129893425806
226975,4,81,1.25,0.037037037037037035,94.1919191919192,40.404040404040394,0.7937835305929184,0.6505049824898625
237669,4,81,1.0,0.24691358024691357,84.5959595959596,40.404040404040394,0.8800313770771027,0.7541754045236257
253263,4,81,1.5,0.037037037037037035,83.83838383838383,40.404040404040394,0.8368743248283863,0.7929222843161335
300025,4,81,0.5,0.12345679012345678,88.88888888888889,40.404040404040394,0.7113346643745899,0.6824082088323287
300986,4,81,1.75,0.30864197530864196,88.63636363636363,40.404040404040394,0.8702943809330463,0.6908528469962838
337656,4,81,1.0,0.012345679012345678,88.63636363636363,40.404040404040394,0.7029359340667725,0.597863454049752
364210,4,81,2.0,0.7530864197530864,84.5959595959596,40.404040404040394,0.8803661093115807,0.7764904278296011
395948,4,81,1.0,0.7901234567901234,86.11111111111111,40.404040404040394,0.7917296178638935,0.703399442780165
421946,4,81,2.0,0.345679012345679,86.36363636363636,40.404040404040394,0.6997092738747597,0.6452521015832453
493490,4,81,3.0,0.8888888888888888,88.3838383838384,40.404040404040394,0.8328501060605049,0.7566020225669131
505390,4,81,2.25,0.6419753086419753,81.56565656565655,40.404040404040394,0.8873207233846188,0.7546633301693716
