qid,docno,sbr_pos,selections,colbert_max
1107704,msmarco_passage_53_63292867,1,23,19
1107704,msmarco_passage_68_155495476,2,22,19
1107704,msmarco_passage_06_847024080,3,21,19
1111577,msmarco_passage_30_131172954,2,26,25
1111577,msmarco_passage_05_563789830,3,26,25
1117243,msmarco_passage_23_342669409,2,24,23
1128632,msmarco_passage_50_575322419,1,26,25
168329,msmarco_passage_30_795590421,2,24,23
30611,msmarco_passage_07_94355630,2,29,27
395948,msmarco_passage_64_172367505,4,26,25
540006,msmarco_passage_24_649418758,1,28,25
832573,msmarco_passage_24_205383441,1,25,22
832573,msmarco_passage_27_612382169,4,24,22
